time	force
115	-0.05574042
231	-0.05574042
347	-0.05574042
463	1.5210378
580	1.5210378
695	1.5210378
812	1.5210378
928	4.1018195
1044	4.1018195
1160	4.1018195
1276	4.1018195
1393	6.418087
1509	6.418087
1625	6.418087
1741	4.974748
1857	4.974748
1974	4.974748
2090	4.974748
2207	3.8866274
2323	3.8866274
2439	3.8866274
2555	3.8866274
2670	4.1203995
2786	4.1203995
2902	4.1203995
3018	4.854315
3134	4.854315
3249	4.854315
3366	4.854315
3481	5.7323112
3598	5.7323112
3714	5.7323112
3829	5.7323112
3946	6.452207
4062	6.452207
4178	6.452207
4294	7.375133
4411	7.375133
4527	7.375133
4643	7.375133
4759	8.245528
4875	8.245528
4990	8.245528
5106	9.151732
5223	9.151732
5339	9.151732
5455	9.151732
5572	10.182424
5687	10.182424
5804	10.182424
5919	10.182424
6036	11.193183
6152	11.193183
6268	11.193183
6384	12.239583
6501	12.239583
6617	12.239583
7979	11.812071
8095	11.812071
8211	11.812071
8328	11.812071
8443	13.977502
8559	13.977502
8676	13.977502
8792	15.579448
8908	15.579448
9024	15.579448
9140	15.579448
9256	16.832594
9372	16.832594
9489	16.832594
9605	16.832594
9721	18.22222
9837	18.22222
9952	18.22222
10068	19.540226
10184	19.540226
10301	19.540226
10417	19.540226
10533	20.980864
10650	20.980864
10766	20.980864
10882	20.980864
10997	22.535345
11113	22.535345
11229	22.535345
11346	24.112968
11463	24.112968
11579	24.112968
11696	24.112968
11812	25.69093
11929	25.69093
12045	25.69093
12162	27.42209
12279	27.42209
12395	27.42209
12512	27.42209
12628	29.31811
12745	29.31811
12861	29.31811
12977	29.31811
13093	31.154335
13209	31.154335
13326	31.154335
13441	33.109642
13558	33.109642
13674	33.109642
13791	33.109642
13908	35.192814
14024	35.192814
14140	35.192814
14256	35.192814
14372	37.264328
14488	37.264328
14604	37.264328
14719	39.457798
14835	39.457798
14951	39.457798
15067	39.457798
15184	41.8092
15299	41.8092
15415	41.8092
15532	44.232555
15648	44.232555
15764	44.232555
15880	44.232555
15997	46.764694
16114	46.764694
16230	46.764694
16347	46.764694
16463	49.446484
16580	49.446484
16697	49.446484
16814	52.066113
16931	52.066113
17047	52.066113
17163	52.066113
17280	54.56058
17396	54.56058
17513	54.56058
17630	54.56058
17746	57.27058
17863	57.27058
17980	57.27058
18097	60.083443
18214	60.083443
18330	60.083443
18446	60.083443
18563	62.880936
18679	62.880936
18796	62.880936
18912	65.64127
19029	65.64127
19146	65.64127
19262	65.64127
19378	68.65024
19494	68.65024
19611	68.65024
19727	68.65024
19842	71.66951
19959	71.66951
20075	71.66951
20191	74.72409
20307	74.72409
20424	74.72409
20540	74.72409
20656	77.95771
20771	77.95771
20888	77.95771
21004	77.95771
21121	81.17579
21237	81.17579
21353	81.17579
21469	84.42427
21585	84.42427
21702	84.42427
21817	84.42427
21933	87.50604
22050	87.50604
22166	87.50604
22282	87.50604
22398	90.74929
22514	90.74929
22631	90.74929
22747	94.070404
22863	94.070404
22980	94.070404
23097	94.070404
23214	97.49591
23330	97.49591
23447	97.49591
23563	100.9155
23680	100.9155
23796	100.9155
23913	100.9155
24029	104.40654
24145	104.40654
24260	104.40654
24376	104.40654
24492	107.788795
24607	107.788795
24723	107.788795
24839	111.391655
24955	111.391655
25071	111.391655
25188	111.391655
25304	114.9859
25420	114.9859
25536	114.9859
25653	114.9859
25768	114.01703
25884	114.01703
26000	114.01703
26116	77.88963
26232	77.88963
26348	77.88963
26464	77.88963
26581	51.0138
